"ASP.NET Core Fundamentals","aspdotnet-core-fundamentals"
"Learn by Building Redis with Ruby","learn-by-building-redis-with-ruby"
"C# Collections Fundamentals","csharp-collections"
"Test-Driven Development Practices in Java","test-driven-development-java"
"Using MongoDB with ASP.NET MVC","using-mongodb-aspdotnet-mvc"
"Spring Security Fundamentals","spring-security-fundamentals"
"DotNetNuke Module Development","dotnetnuke-module-development"
"Node.js for .NET Developers","nodejs-dotnet-developers"
"Scaling SQL Server 2012: Part 1","scaling-sqlserver2012-part1"
"Understanding Web Service Specifications in WCF","understanding-web-service-specifications-wcf"
"Advanced Machine Learning with ENCOG: Part 2","advanced-machine-learning-encog-pt2"
"Building .NET Console Applications in C#","building-dotnet-console-applications-csharp"
"React Fundamentals","react-fundamentals"
"Web Security and the OWASP Top 10: The Big Picture","web-security-owasp-top10-big-picture"
"Supporting SQL Server ISV Applications","sqlserver-supporting-isv-applications"
"Build Your Own Application Framework with ASP.NET MVC 5","build-application-framework-aspdotnet-mvc-5"
"Building Cross-Platform iOS/Android Apps with Xamarin, Visual Studio and C# ...","cross-platform-ios-android-visual-studio-csharp-pt2"
"The C Programming Language in Action","c-programming-language-in-action"
"Windows Azure Storage In-Depth","windows-azure-storage-in-depth"
"Pragmatic Behavior-driven Design with .NET","pragmatic-bdd-dotnet"
"Oracle PL/SQL Fundamentals: Part 1","oracle-plsql-fundamentals"
"C# Fundamentals with C# 5.0","csharp-fundamentals-csharp5"
"Customizing Your Team Workflow with the Best of Kanban and Scrum","customizing-team-workflow-best-of-kanban-scrum"
"Windows 8.1: New Features for C#/XAML Developers","windows-81-whats-new-csharp-xaml-devs"
"Introduction to Visual Studio 2013: Part 1","intro-visual-studio-2013"
"Building PHP Applications with Zend Framework 2","building-php-applications-zend-framework"
"Building Dynamic Websites with PHP and MySQL","build-dynamic-web-sites-mysql-php"
"Visual Studio LightSwitch 2012 and 2013","visual-studio-lightswitch2012"
"Building State Machines in .NET","building-state-machines-dotnet"
"Business Dashboard Fundamentals","business-dashboard-fundamentals"
"WebRTC Fundamentals","webrtc-fundamentals"
"XSLT 2.0 and 1.0 Foundations","xslt-foundations-part1"
"Applied Windows Azure","applied-windows-azure"
"WPF for the Visual Basic Programmer: Part 2","wpf-vb-programmer-pt2"
"SQL Server: Transact-SQL Common Table Expressions","sqlserver-transact-sql-common-table-expressions"
"Building Apps with Azure Mobile Svcs, SignalR, MVC, Win 8 and WP8","building-mobile-applications-azure-signalr-mvc"
"Visual Studio Data Tools for Developers","visual-studio-data-tools-developers"
"Windows Internals 3","windows-internals-3"
"Test Automation with CodedUI","codedui-test-automation"
"SpecFlow Tips and Tricks","specflow-tips-tricks"
"Indexing, Querying and Analyzing Text with SQL Server 2012-2014","indexing-querying-analyzing-text-with-sqlserver-2012-2014"
"SharePoint 2013 Workflow: Web Services","sharepoint-2013-workflow-web-services"
"Personal Productivity & Performance Tools for Windows Developers","personal-productivity-performance-tools-windows-developers"
"Developing Extensible Software","developing-extensible-software"
"Event Tracing for Windows (ETW) in .NET","event-tracing-windows-etw-dotnet"
"iOS 7 Fundamentals","ios7-fundamentals"
"Building Angular and Node.js Apps with the MEAN Stack","building-angularjs-nodejs-apps-mean"
"Django Fundamentals","django-fundamentals"
"What’s New in PostSharp v3","postsharp3-new-features"
"Deploying GameSalad Games for Testing","deploying-gamesalad-games-for-testing"
"C# Language Internals: Part 1","csharp-language-internals"
"Bean Validation 1.1","bean-validation"
"Groovy Fundamentals","groovy-fundamentals"
"Understanding Distributed Version Control Systems","understanding-distributed-version-control-systems"
"Large Scale JavaScript on Client and Server","large-scale-javascript"
"Building Web Applications with Open-Source Software on Windows","building-web-application-open-source-software-on-windows"
"RabbitMQ for .NET Developers: Part 2","rabbitmq-dotnet-developers-pt2"
"MySQL Workbench Guided Tour","mysql-workbench-guided-tour"
"Introduction to Microsoft Office Open XML","introduction-microsoft-office-open-xml"
"A Functional Architecture with F#","functional-architecture-fsharp"
"Core Telerik Windows Phone 8 Controls","telerik-windows-phone8-controls-core"
"Team Foundation Server 2013 New Features","team-foundation-server-2013-new-features"
"Building Cross-Platform Mobile Apps with Telerik AppBuilder","building-hybrid-mobile-apps-icenium"
"Kinect Interaction with WPF and Beyond","using-kinect-interaction-wpf"
"Useful jQuery Plugins","useful-jquery-plugins"
"SharePoint 2013 PerformancePoint Services","sharepoint-performancepoint-services"
"Building Cross-Platform iOS/Android Apps with Xamarin, Visual Studio, and ...","cross-platform-ios-android-visual-studio-csharp"
"SharePoint 2013 Workflow: Advanced Topics","sharepoint2013-workflow-advanced-topics"
"Optimizing OLTP and Data Warehousing with SQL Server 2014","optimizing-oltp-data-warehousing-sql-server-2014"
"Scrum Development with Jira & JIRA Agile","scrum-development-jira-agile"
"Introduction to Dates and Times in SQL Server","intro-dates-times-sqlserver"
"Android Layout Fundamentals","android-layout-fundamentals"
"Licensing .NET Applications","licensing-dotnet-applications"
".NET Debugging Power Tools","dotnet-debugging-power-tools"
"AutoPlay Media Studio Fundamentals Part 1","autoplay-media-studio-fundamentals"
"jQuery Forms and Bootstrap 3","jquery-forms-bootstrap3"
"SignalR Across Web and Devices","signalr-across-web-devices"
"WPF Data Binding in Depth","wpf-data-binding-in-depth"
"Building a Game of Memory with SignalR","building-memory-game-signalr"
"Productivity Tips for the Busy Tech Professional","productivity-tips-busy-tech-professional"
"ASP.NET Security Secrets Revealed","aspdotnet-security-secrets-revealed"
"Architecting Applications for the Real World in .NET","architecting-applications-dotnet"
"Relational Database Design","relational-database-design"
"An Introduction to Microsoft Project 2010 and 2013","ms-project-2013-intro"
"Java Swing Development Using NetBeans","java-swing-development-netbeans"
"Introduction to Localization and Globalization in .NET","intro-to-localization-globalization-dotnet"
"Learning Technology in the Information Age","learning-technology-information-age"
"WordPress as a Network: Mastering WordPress Multisite","mastering-wordpress-multisite"
"MySQL Query Optimization and Performance Tuning","mysql-query-optimization-performance-tuning"
"Getting Started in Podcasting","getting-started-podcasting"
"SQL Server: Using SQL Sentry Plan Explorer","sqlserver-using-sqlsentry-plan-explorer"
"The Parse Mobile Backend as a Service, with Windows 8","parse-mobile-backend-windows8"
"Building Apps with Angular and Breeze: Part 2","build-apps-angular-breeze-part2"
"Windows Azure Marketplace","windows-azure-marketplace"
"Play by Play: Application Development with Shawn Wildermuth","play-by-play-wildermuth"
"The Eclipse Guided Tour: Part 2","eclipse-guided-tour-part2"
"Game Programming with Python and PyGame","game-programming-python-pygame"
"Git for Visual Studio Developers","git-visual-studio-developers"
"Angular for .NET Developers","angularjs-dotnet-developers"
"SQL Server: Database Creation, Configuration, and Alteration","sql-server-creation-config-alteration"
"C# Extension Methods","csharp-extension-methods"
"WPF for the Visual Basic Programmer: Part 1","wpf-vb-programmer-pt1"
"Refactoring Fundamentals","refactoring-fundamentals"
"Play by Play: AngularJS Application Design with Scott Allen and Dan Wahlin","play-by-play-wahlin-allen"
"Management Strategies that will Increase Productivity Today","management-strategies-increase-productivity"
"Windows Phone Testing and Error Management","windows-phone-testing-error-management"
"ASP.NET Bundling, Minification & Resource Optimization","aspnet-bundling-minification-resource-optimization"
"Core Data Fundamentals","core-data-fundamentals"
"Unity3D Web Fundamentals with C#","unity-3d-web-fundamentals-csharp"
"Unit Testing T-SQL Code with tSQLt","unit-testing-t-sql-tsqlt"
"10 Practical Techniques to Power Your Visual C++ Apps","ten-techniques-power-visual-cplusplus-apps"
"SQL Server: Optimizing Ad Hoc Statement Performance","sqlserver-optimizing-adhoc-statement-performance"
"Microsoft Design Principles","microsoft-design-principles"
"Introduction to Dates, Times and Intervals in Oracle","intro-dates-times-intervals-oracle"
"XML Syntax Fundamentals","xml-syntax-fundamentals"
"WinJS Fundamentals","winjs-fundamentals"
"Play by Play: AngularJS Application Design with John Papa and Ward Bell","play-by-play-papa-bell"
"Relationship Management and Tracking for Your Career","relationship-management-tracking"
"Developing SharePoint 2013 Solutions with JavaScript","developing-sharepoint-2013-javascript"
"iOS Sprite Kit Fundamentals","ios-spritekit-fundamentals"
"Introduction to Game Development with Unity","introduction-game-development-unity"
"HTML5 Web Storage, IndexedDB and File System","html5-web-storage-indexeddb-file-system"
"Beginning Lua","beginning-lua"
"Writing and Marketing a Book","writing-marketing-book"
"Getting Started with ASP.NET MVC, ServiceStack and Bootstrap","getting-started-aspdotnet-mvcservice-stack-bootstrap"
"Agile Families: Techniques for Living with Change","agile-families-techniques-living-change"
"Understanding SharePoint 2013: Part 6: SharePoint Apps Basics","understanding-sharepoint2013-office365-apps"
"Advanced Machine Learning with ENCOG","advanced-machine-learning-encog"
"Introduction to PHP MVC with CakePHP","introduction-php-mvc-cakephp"
"Using SkyDrive for Collaboration, Communication and Cloud Storage","skydrive-collaboration-communication-cloud-storage"
"SQL Server: Maintenance Plans","sqlserver-database-maintenance-plans"
"SQL Server: Advanced Corruption Recovery Techniques","sqlserver-advanced-corruption-recovery-techniques"
"What's New in Visual Studio 2013 for C++ Developers","whats-new-visual-studio-2013-cplusplus-devs"
"Practical Reflection in .NET","practical-reflection-dotnet"
"Photoshop: Tips and Tricks For Developers","photoshop-tips-tricks-developers"
"BizTalk Server 2013 from Ground Up: An End to End Scenario","biztalk-server2013-end-to-end"
"Android Dreams, Widgets and Notifications: Life Outside Your App","android-dreams-widgets-notifications"
"AngularJS In-Depth","angularjs-in-depth"
"RabbitMQ for .NET Developers: Part 1","rabbitmq-dotnet-developers"
"RESTFul Services in Java using Jersey","restful-services-java-using-jersey"
"Advanced Techniques in JavaScript and jQuery","javascript-jquery-advanced-techniques"
"C++11 Language Features","cplusplus11-language-features"
"Bootstrap 3","bootstrap-3"
"Riak Fundamentals","riak-introduction"
"Reporting on Dynamics CRM Data","reporting-dynamics-crm-data"
"Master Your Domain: User Roles & Capabilities in WordPress","user-roles-capabilities-wordpress"
"Introduction to Sitefinity Development","sitefinity-development-introduction"
"SharePoint 2013 Fundamentals","sharepoint-2013-fundamentals"
"Dynamics CRM Developer: Part 3","dynamics-crm-developer-part3"
"Best Practices for Requirements Gathering","best-practices-requirements-gathering"
"Publishing Mobile Games with GameSalad","publishing-mobile-games-with-gamesalad"
"Play! 2 for Java","play-2-java"
"ASP.NET MVC 5 Fundamentals","aspdotnet-mvc5-fundamentals"
"VBA Fundamentals","vba-fundamentals"
"Audio Programming with NAudio","audio-programming-naudio"
"What's new in Windows Embedded 8 Standard","whats-new-windows-embedded8-standard"
"Unit Testing with Python","unit-testing-python"
"Building Context-Menu Shell Extensions in C++","building-context-menu-shell-extensions-cplusplus"
"SEO Fundamentals","seo-fundamentals"
"Logical and Physical Modeling for Analytical Applications","logical-physical-modeling-analytical-applications"
"Implementing the Reactive Manifesto with Azure and AWS","implementing-reactive-manifesto-azure-aws"
"jQuery-free JavaScript","jquery-free-javascript"
"Sublime Text 3 From Scratch","sublime-text-3-from-scratch"
"SQL Server: Temporary Objects","sqlserver-temporary-objects"
"Automated Acceptance Testing with SpecFlow and Gherkin","automated-acceptance-testing-specflow-gherkin"
"PowerShell Gotchas","powershell-gotchas"
"Creating Mobile Games with GameSalad","creating-mobile-games-gamesalad"
"Beginning HTML 5 Game Development With Quintus","beginning-html5-game-development-quintus"
"Angular Best Practices","angular-best-practices"
"Succeeding with Offshore Development","succeeding-offshore-development"
"Developer to Architect","developer-to-architect"
"Building Windows Phone Apps that Stand Out","building-windows-phone-apps-stand-out"
"Mastering Visual Studio 2013","mastering-visual-studio-2013"
"Building Apps with Angular and Breeze: Part 1","build-apps-angular-breeze"
"ADO.NET Fundamentals","adodotnet-fundamentals"
"Practical NDepend","practical-ndepend"
"Dependency Injection On-Ramp","dependency-injection-on-ramp"
"Windows Internals 2","windows-internals2"
"Beginning HTML5 Apps For Firefox OS","beginning-html5-apps-firefox-os"
"GameSalad Fundamentals","gamesalad-fundamentals"
"Shell Scripting with Bash","bash-shell-scripting"
"Managing Work with Team Foundation Server 2012","managing-work-team-foundation-server2012"
"Backbone.JS In-Depth and Intro to Testing with Mocha and Sinon","backbone-js-in-depth-testing-mocha-sinon"
"Kendo and MVC From Scratch","kendo-mvc-from-scratch"
"Modern C++ Concurrency","modern-cplusplus-concurrency"
"Understanding and Profiting from On-line Advertising","understanding-profiting-online-advertising"
"Android for .NET Developers: 4 Understanding The Android Platform","android-dotnet-developers-understanding-android-platform"
"Aspect Oriented Programming (AOP) using Spring AOP and AspectJ","aspect-oriented-programming-spring-aspectj"
"Developing for Leap Motion in C#","developing-leap-motion-csharp"
"Custom Content Types and You: How to Code like A WordPress Ninja","custom-content-types-code-like-wordpress-ninja"
"Introduction to SQL","introduction-to-sql"
"Rapid Application Prototyping with SharePoint and LightSwitch","rapid-application-prototyping-sharepoint-lightswitch"
"Better Software Through Measurement","better-software-through-measurement"
"Introduction to Grails","grails-introduction"
"The xUnit.net Testing Framework","xunitdotnet-test-framework"
"Beginning iOS 7 Development","beginning-ios7-development"
"Windows Embedded 8.1 Industry Jumpstart","windows-embedded81-industry-jumpstart"
"SQL on Hadoop: Analyzing Big Data with Hive","sql-hadoop-analyzing-big-data-hive"
"Drupal 7: Foundation","drupal7-foundation"
"jQuery Animation","jquery-animation"
"ASP.NET MVC Testing From Scratch","aspdotnet-mvc-testing-from-scratch"
"Clean Code: Writing Code for Humans","writing-clean-code-humans"
"Android Processes and Threads","android-processes-threads"
"Your Database Is Your Friend","database-your-friend"
"Parallel Computing with CUDA","parallel-computing-cuda"
"Building Data-Centric Single Page Apps with Breeze","building-single-page-applications-breeze"
"JustMock Lite Fundamentals","justmock-lite-fundamentals"
"Meteor.js Fundamentals for Single Page Applications","meteorjs-fundamentals-single-page-apps"
"Implementing an API in ASP.NET Web API","implementing-restful-aspdotnet-web-api"
"SQL Server: Why Physical Database Design Matters","sqlserver-why-physical-db-design-matters"
"C# for Visual Basic .NET Developers","csharp-visual-basic-dotnet-developers"
"Creating an Automated Testing Framework With Selenium","automated-testing-framework-selenium"
"Design Patterns On-Ramp","design-patterns-on-ramp"
"10 Ways to Build Web Services in .NET","building-dotnet-web-services-10ways"
"Building A Real-World Windows 8 Application Architecture Using MVVM","building-real-world-windows8-application-mvvm"
"InDepth Knockout Validation","knockout-validation-library"
"C# Generics","csharp-generics"
"Introduction to Leadership and Management for Developers","introduction-leadership-management-developers"
"One ASP.NET From Scratch","one-aspdotnet-from-scratch"
"MDX Fundamentals","mdx-fundamentals"
"What's New in iOS 7","introduction-ios7-whats-new"
"C# Tips and Traps 2","csharp-tips-traps-part2"
"SQL Server: Detecting and Correcting Database Corruption","sqlserver-database-corruption"
"Practical LINQ","practical-linq"
"How to Start and Run A Consulting Business","start-run-consulting-business"
"Creating A Chrome Extension","creating-chrome-extensions"
"Data Visualizations Using Tableau Public","data-visualization-using-tableau-public"
"Introduction to UML","uml-introduction"
"URL Rewrite for Developers","url-rewrite-for-developers"
"JIRA Fundamentals","jira-fundamentals"
"Data Analysis Fundamentals with Tableau","data-analysis-fundamentals-tableau"
"Building End-to-End Multi-Client Service Oriented Applications","building-multi-client-end-to-end-service-oriented-applications"
"Hack Yourself First: How to go on the Cyber-Offense","hack-yourself-first"
"Building High-Performance Windows 8 Applications","building-high-performance-windows8-applications"
"Optimizing and Managing Distributed Systems on AWS","deploying-highly-available-distributed-systems-aws-part2"
"Application Instrumentation using log4net","application-instrumentation-log4net"
".NET Micro ORMs","dotnet-micro-orms-introduction"
"Modern C++ Libraries","modern-cplusplus-libraries"
"Math For Programmers","math-for-programmers"
"Practical IoC With ASP.NET MVC 4","ioc-aspdotnet-mvc4"
"Load Testing with Visual Studio 2012","load-testing-visual-studio-2012"
"MySQL Indexing for Performance","mysql-indexing-performance"
"Spring Fundamentals","spring-fundamentals"
"Taking The Leap from Flash to HTML5 Video","taking-leap-flash-html5"
"Python Fundamentals","python-fundamentals"
"Fixing Common JavaScript Bugs","fixing-common-javascript-bugs"
"SQL Server 2012: Transact-SQL Error Handling","sqlserver-transact-sql-error-handling"
"C# Tips and Traps","csharp-tips-traps"
"Building Facebook Applications Using iOS","building-facebook-applications-ios"
"Play by Play: Refactoring with Katrina Owen","play-by-play-katrina-owen"
"DotNetNuke Fundamentals","dotnetnuke-fundamentals"
"Haskell Fundamentals Part 1","haskell-fundamentals-part1"
"Introduction to Windows Forms","windows-forms-introduction-with-visual-basic"
"An MVC4, iOS And Android App With ServiceStack, Xamarin and C#","building-mvc4-ios-android-apps-servicestack-xamarin-csharp"
"Android for .NET Developers: 3 Adopting The Android Mindset","android-dotnet-developers-adopting-mindset"
"HTML5 Fundamentals","html5-fundamentals-2e"
"The Eclipse Guided Tour: Part 1","eclipse-guided-tour-part1"
"Log Parser Fundamentals","logparser-fundamentals"
"SharePoint 2013 Search Back To Front","sharepoint2013-search-back-front"
"C# From Scratch: Part 2","csharp-from-scratch-part2"
"Windows Internals","windows-internals"
"Introduction to The .NET BackgroundWorker Component","dotnet-backgroundworker-component-introduction"
"Play By Play: Azure Deployment with Scott Hanselman","play-by-play-hanselman"
"Nginx and PHP Fundamentals","nginx-php-fundamentals"
"Building a Site with Bootstrap, AngularJS, ASP.NET, EF and Azure","site-building-bootstrap-angularjs-ef-azure"
"Introduction To Visualforce","visualforce-introduction"
"CSS 3 From Scratch","css3-from-scratch"
"Architecting Highly Available Systems on AWS","deploying-highly-available-distributed-systems-aws-part1"
"Informational Interviews","informational-interviews"
"Learning To Program: Being A Better Programmer","learning-program-better-programmer"
"Introduction to WPF Custom Controls","wpf-custom-controls-introduction"
"Beyond the Basics in Windows Phone 8","beyond-basics-windows-phone8"
".NET Puzzles, Gotchas & Cautionary Tales","dotnet-puzzles-type-design"
"iOS Graphics and Animation Programming","ios-graphics-animation-programming"
"Mastering Visual Studio 2012","mastering-visual-studio-2012"
"Introduction To Hibernate","hibernate-introduction"
"SharePoint 2013 Search Development","sharepoint-2013-search-development"
"What’s New in BizTalk Server 2013","biztalk-server2013-whats-new"
"Internationalization in WordPress","wordpress-internationalization"
"Windows Store Games with the Platformer Game Starter Kit","building-windows8-games-platform-starter-kit"
"Introduction to Sitefinity","sitefinity-introduction"
"Digital Audio Fundamentals","digital-audio-fundamentals"
"Building a High Traffic, Profitable Blog","building-high-traffic-profitable-blog"
"Windows Azure Mobile Services","windows-azure-mobile-services"
"Big Data Analytics with Tableau","big-data-analytics-tableau"
"Introduction to Machine Learning with ENCOG 3","introduction-to-machine-learning-encog"
"Learn How to Program with C++","learn-programming-cplusplus"
"The Many Approaches to XML Processing in .NET Applications","xml-processing-approaches-dotnet-applications"
"Introduction to ASP.NET Web Services","aspdotnet-web-services-introduction"
"jQuery Tips and Tricks","jquery-tips-and-tricks"
"Learning To Program: Part 2: Abstractions","learning-programming-abstractions-python"
"UI Architecture","web-ui-architecture"
"The Essentials of COM: Part 2","com-advanced-topics"
"Introduction to Windows Embedded Standard 7","windows-embedded-standard7-introduction"
"Using Windows PowerShell with SharePoint 2010 and SharePoint 2013","using-windows-powershell-sharepoint-2010-2013"
"Developing a Real World Application With Kendo UI","real-world-kendoui"
"Introduction to MongoDB","mongodb-introduction"
"HTML5 From Scratch","html5-from-scratch"
"Microsoft Test Manager 2012","microsoft-test-manager-2012"
"Dynamics CRM Developer: Part 2","dynamics-crm-developer-part2"
"Building NoSQL Apps With Redis","building-nosql-apps-redis"
"MySQL Fundamentals Part 2","mysql-fundamentals-part2"
"An Introduction to Design","design-introduction"
"Sencha Touch Fundamentals","sencha-touch-fundamentals"
"Consuming Web Services and Using Local Storage on iOS","ios-data-fundamentals"
"C# Interfaces","csharp-interfaces"
"Fixing Common jQuery Bugs","fixing-common-jquery-bugs"
"Knockout For the XAML Developer","knockout-xaml-developer"
"Introduction to WordPress Plugin Development","wordpress-plugin-development-introduction"
"Caching in the .NET Stack: Inside-Out","dotnet-caching-inside-out"
"Cross Platform Android and iOS Apps With Appcelerator Titanium","cross-platform-android-ios-appcelerator-titanium"
"Android for .NET Developers: 2 Building Apps With Android Studio","android-dotnet-developers-android-studio"
"Change It Up!","changeitup"
"Introduction to OAuth2, OpenID Connect and JSON Web Tokens (JWT)","oauth2-json-web-tokens-openid-connect-introduction"
"Introduction to the Facebook Graph API","beginner-facebook-development"
"Coding Dojo: Test Driven Development","the-coding-dojo"
"Telerik WPF Controls","programming-telerik-wpf-controls"
"SQL Server: Transactional Replication Fundamentals","sqlserver-transactional-replication-fundamentals"
"SharePoint 2013 Workflow: Fundamentals","sharepoint2013-workflow-fundamentals"
"Build a Customized SharePoint Team Site Without Writing Any Code","build-customized-sharepoint-team-site-no-code"
"Ruby Fundamentals","ruby-fundamentals"
"Telerik XAML Windows 8 Controls","programming-telerik-windows8-xaml-controls"
"Essential Knockout and JavaScript Tips","knockout-tips"
"SQL Server: Virtualization","sql-server-virtualization-planning-practice"
"Web API Design","web-api-design"
"Using Speech Synthesis with Microsoft Office","microsoft-office-speech-synthesis"
"Automated Testing: End to End","automated-testing-end-to-end"
"Meet Elixir","meet-elixir"
"Disaster Recovery for Developers","disaster-recovery-developers"
"Agile Release Management","agile-release-management"
"MSIL for the C# Developer","msil-csharp-developer"
"Introduction To Building Web Applications With Dart","introduction-building-web-applications-dart"
"HTML5 Line of Business Apps with Bootstrap, MVC4 and Web API","html5-line-of-business-applications"
"ASP.NET Web Forms Internals: Requests, ViewState & Page Lifecycle","aspnet-webforms-internals-viewstate-page-lifecycle"
"Learning To Program: Part 1: Getting Started","learning-programming-javascript"
"XAML Patterns","xaml-patterns"
"Google Charts By Example","google-charts-by-example"
"UX Engineering Process","lean-front-end-engineering"
"Developing and Deploying SQL Server ISV Applications","sqlserver-developing-deploying-supporting-isv-applications"
"Building Windows Runtime Components","winrt-components-dotnet"
"Raspberry Pi for Developers","raspberry-pi-for-developers"
"Active Directory Programming for Developers","active-directory-programming"
"C# From Scratch","csharp-from-scratch"
"Using Glimpse With ASP.NET, MVC4, and Entity Framework","using-glimpse-aspdotnet-mvc4"
"SharePoint 2013 Development: Client Object Model and REST API","sharepoint-2013-client-object-model-rest"
"Android for .NET Developers: 1 Getting Started","android-dotnet-developers-getting-started"
"Introduction to Ruby on Rails 3 and 4","ruby-on-rails3-fundamentals"
"Designing Windows 8 Apps","designing-windows8-applications"
"Automated Testing for Fraidy Cats Like Me","automated-testing-fraidy-cats"
"Understanding SharePoint 2013: Part 5: REST and CSOM","understanding-sharepoint2013-rest-client-side-object-model"
"JavaScript From Scratch","javascript-from-scratch"
"Angular Fundamentals","angularjs-fundamentals"
"Building Windows Store Business Apps with Prism","building-windows-store-business-applications-prism"
"Creating Acceptance Tests With FitNesse","creating-acceptance-test-fitnesse"
"Making Java And C# Work Together: JVM and .NET CLR Interop","java-jvm-dotnet-interop"
"Continuous Testing with NCrunch","continuous-testing-with-ncrunch"
"The Essentials of COM","com-essentials"
"Ruby on Rails: A Jumpstart for .NET Developers","ruby-rails-dotnet"
"Building a Successful Blog","building-successful-blog"
"Understanding SharePoint 2013: Part 4: Conventional Development","understanding-sharepoint2013-development-conventions"
"Unit Testing In Java With JUnit","java-unit-testing-junit"
"Front-End First: Testing and Prototyping JavaScript Apps","testing-and-prototyping-javascript-apps"
"Introduction to WordPress","wordpress-introduction"
"Underscore.js Fundamentals","underscore-fundamentals"
"SQL Server 2012: Nonclustered Columnstore Indexes","sql-server-2012-nonclustered-columnstore-indexes"
"So You Want to be an Entrepreneur?","want-to-be-entrepreneur"
"Application Building Patterns with AngularJS","show-me-angular"
"Force.com Design Patterns: Part 2","forcedotcom-design-patterns-part2"
"Dynamics CRM Developer: Part 1","dynamics-crm-developer-part1"
"HTML for the XAML Developer","html-for-xaml-developers"
"No Code XRM Development","no-code-xrm-development"
"The Art of Public Speaking and Effective Presentations","public-speaking-effective-presentations"
"Building a Real Application With Kinect","building-real-kinect-application"
"Understanding .NET and WCF Transactions","understanding-dotnet-wcf-transactions"
"Introduction to WebMatrix","webmatrix-introduction"
"Introduction to Cryptography in .NET","cryptography-introduction-dotnet"
"OWASP Top 10 Web Application Security Risks for ASP.NET","owasp-top10-aspdotnet-application-security-risks"
"Responsive Web Design","responsive-web-design"
"Mobile First Responsive Web Design","mobile-first-responsive-web-design"
"MySQL Fundamentals","mysql-fundamentals-part1"
"C# Events, Delegates and Lambdas","csharp-events-delegates"
"Enterprise WPF with XAML and C# from Scratch","enterprise-wpf-xaml-csharp-from-scratch"
"Building Your First Game For Android And The PC Using Java","building-game-android-pc-java"
"Using The Chrome Developer Tools","chrome-developer-tools"
"Practical PhoneGap","practical-phonegap"
"Introduction to Windows Azure Infrastructure as a Service","windows-azure-infrastructure-service-introduction"
"Contracts and Extensions in Windows 8","windows8-contracts"
"Troubleshooting Skills","troubleshooting-skills"
"Android Photo and Video Programming","android-photo-video-programming"
"Working with Entities in Drupal 7","working-with-entities-in-drupal-7"
"Advanced Unit Testing","advanced-unit-testing"
"Fundamentals of Azure Cloud Services and Storage","azure-cloud-services-storage-fundamentals"
"Spring with JPA and Hibernate","spring-jpa-hibernate"
"Generating HTML5 Layouts Using Photoshop","generating-html5-layouts-using-photoshop"
"Patterns of Cloud Integration","cloud-integration-patterns"
"Introduction to Arduino","arduino-introduction"
"Android Beginner Series: Just Enough Java","android-beginner-java-introduction"
"Windows 8 – From Design to Delivery with C# and XAML","windows8-design-to-delivery"
"MATLAB Fundamentals","matlab-fundamentals"
"Introduction to Windows Phone 8","windows-phone8-introduction"
"SQL Server: Advanced Extended Events","sqlserver-advanced-xevents"
"Using Google's Cloud For Developers: Google BigQuery","google-cloud-big-query"
"Asynchronous C# 5.0","skeet-async"
"Website Performance","website-performance"
"Search Engine Optimization with ASP.NET","seo-with-aspdotnet"
"SQL Server: Query Plan Analysis","sqlserver-query-plan-analysis"
"What's New in .NET 4.5","dotnet45-whatsnew"
"SharePoint 2013 Business Connectivity Services Fundamentals","business-connectivity-services-fundamentals"
"Learning How to Program with Scratch","learning-programming-scratch"
"Teaching Kids Programming with C#","teaching-kids-programming"
"New Features in ASP.NET 4.5","aspnet-webforms45-new-features"
"Introducing ASP.NET SignalR: Push Services with Hubs","signalr-introduction"
"Debugging Chronicles III","debugging-chronicles3"
"Learning to Build Apps with App Inventor","android-beginner-app-inventor"
"Introduction to Xcode","xcode-ios-fundamentals"
"Team Foundation Server Customization","tfs2012-customization"
"Single Page Apps JumpStart","single-page-apps-jumpstart"
"Windows 8 – From Start to Store","windows8-start-to-store"
"Android Location-Based Apps","android-location-based-apps"
"Preparing For a Job Interview","developer-job-interviews"
"Android Beginner Series: Understanding Android","android-beginner-platform-overview"
"Play by Play: Ruby Programming with Aaron Patterson and Corey Haines","play-by-play-aaroncorey"
"SQL Big Data Convergence: The Big Picture","sql-big-data-convergence-big-picture"
"Getting Started with Entity Framework 5","entity-framework5-getting-started"
"Get Involved!","get-involved"
"Twilio Service Basics","twilio-service-basics"
"Understanding SharePoint 2013: Part 1: Basics","understanding-sharepoint2013-basics"
"Building ASP.NET Web API OData Services","aspnetwebapi-odata"
"Understanding SharePoint 2013: Part 2: Behind the Scenes","understanding-sharepoint2013-internals"
"Understanding SharePoint 2013: Part 3: Development Overview","understanding-sharepoint2013-development"
"Claims-based Identity for Windows: The Big Picture","claims-based-identity-big-picture"
"Introduction to Google Compute Engine","google-compute-engine"
"Introduction to iOS for .NET Developers","ios-dotnet-developers"
"Force.com for .NET Developers","forcedotcom-dotnet-developers"
"Getting Started With Jenkins Continuous Integration","jenkins-introduction"
"Play by Play: Knockout Refactoring","play-by-play-knockout-refactor"
"CSS3 In-Depth","css3-in-depth"
"Introduction to JavaScript & jQuery","introduction-javascript-jquery"
"JavaScript: The Good Parts","javascript-good-parts"
"jQuery In-Depth","jquery-in-depth"
"Code Testability","code-testability"
"jQuery Plugins & jQuery UI","jquery-plugins-jquery-ui"
"Direct2D Fundamentals: Part 2","direct2d-fundamentals-part2"
